37-17|1|1|COAHUILA|MATAMOROS|05CO2017E0037|ENERGIA SOLAR DE PONIENTE S DE RL DE CV|PARQUE SOLAR ANDALUCíA II|MIA.-REGIONAL|23-JUN-17|ELEMENTOS QUE INTEGRAN EL PROYECTO: EL PROYECTO, CONSISTE EN LA INSTALACION Y OPERACION DE UNPARQUE FOTOVOLTAICO CON UNA POTENCIA NOMINAL O DE GENERACION  DE  82.85  MEGAVATIOS  (MW),  PLANTA  FOTOVOLTAICA  CON  MODULOS  DE  SILICIO  POLICRISTALINO  INSTALADOS  SOBRE  UN  TRACKER  SOLAR  DE  UN  EJE HORIZONTAL. LA ENERGIA ELECTRICA PRODUCIDA SERA TRASLADADA, A TRAVES DE UNA LINEA DE TRANSMISION ELECTRICA A LA SUBESTACION QUE ACTUALMENTE OPERA LA  COMISION  FEDERAL  DE  ELECTRICIDAD  A    4.2  KM  DEL  PREDIO  DEL  PROYECTO,  PARA  SU  INCORPORACION  A  LA  RED  DEL  SISTEMA  ELECTRICO  NACIONAL,  DICHA  LINEA OPERARA  A  230  KV  Y  SERA  CONSTRUIDA  SOBRE  POSTERIA  TIPO  TRONCOCONICA  DE  ACERO,  TIPO  LINDERO  DE  UN  CIRCUITO  CRUZADO.  ASIMISMO,  SE  CONSTRUIRA  UNA SUBESTACION  ELECTRICA  ELEVADORA,  EN  UN  POLIGONO  DE  SECCION  RECTANGULAR  CON  DIMENSIONES  MINIMAS  DE  100  M  X  120  M  DONDE  SE  COLOCARáN  TODOS  LOS EQUIPOS ELECTRICOS NECESARIOS PARA LA TRANSFORMACION SEGURA DEL VOLTAJE GENERADO POR LA PLANTA FOTOVOLTAICA AL VOLTAJE DE SERVICIO, EN ESTE CASO 230 KV. LA SUPERFICIE REQUERIDA PARA EL DESARROLLO DEL PROYECTO ES DE 262.4455 HECTAREAS, 254.1184 HECTAREAS PARAEL PREDIO DEL PARQUE SOLAR Y 8.3271 HECTAREAS PARA LA LINEA DE TRANSMISION. REQUIRIENDOSE DE LA REMOCION DE VEGETACION EN UN TOTAL DE 255.826 HECTAREAS (248-34-20 HECTAREAS DENTRO DEL POLIGONO DEL PARQUE SOLAR Y 7-48-40 HECTAREAS EN LA SERVIDUMBRE DE PASODE LA LINEA DE TRANSMISION).|05|017|2017|E|0|
37-17|1|2|CHIHUAHUA|ASCENSION|08CI2017E0128|CONEJOS MEDANOS I SOLAR PV, S. A. DE C. V.|PARQUE SOLAR MEDANOS I|MIA.-REGIONAL|01-JUN-17|ELEMENTOS  QUE  INTEGRAN  EL  PROYECTO:  EL  PROYECTO  CONSISTE  EN  LA  CONSTRUCCION  Y  PUESTA  EN  OPERACION  DE  UNA  PLANTA  FOTOVOLTAICA  (232,800  PANELES SOLARES),  INCLUYENDO  EL  CAMBIO  DE  USO  DE  SUELO  EN  UNA  EXTENSION  121.2843  HA  DE  LA  PLANTA  FOTOVOLTAICA  Y  0.4168  HA  DE  LA  LINEADE  EVACUACION,  QUE SUSTENTAN  VEGETACION  DE  DESIERTOS  ARENOSOS,  CON  UNA  CAPACIDAD  INSTALADA  DE  GENERACION  DE  50.00  MWN  (58.2  MWP),  EVACUANDO  LA  ENERGIA  GENERADA  A TRAVES DE UNA LINEA  AEREA DE 115 KV DE NUEVA CONSTRUCCION, DE APROXIMADAMENTE 2.16 KILOMETROS HASTA LA SE COLECTORA Y DE LA SE COLECTORA A LA SE CONEJOS MEDANOS (ACTUALMENTEEN OPERACION POR PARTE DE LA CFE).|08|005|2017|E|0|
37-17|1|3|CHIHUAHUA|ASCENSION|08CI2017E0129|CONEJOS MEDANOS II SOLAR PV, S. A. DE C. V.|PARQUE SOLAR CONEJOS MEDANOS II|MIA.-REGIONAL|01-JUN-17|ELEMENTOS  QUE  INTEGRAN  EL  PROYECTO:  EL  PROYECTO  CONSISTE  EN  LA  CONSTRUCCION  Y  PUESTA  EN  OPERACION  DE  UNA  PLANTA  FOTOVOLTAICA  (139,680  PANELES SOLARES), INCLUYENDO EL CAMBIO DE USO DE SUELO EN EL TOTAL DE LA SUPERFICIE TOTAL DEL PREDIO (73.5489 HA) DE LAS CUALES SERANOCUPADAS UNA EXTENSION 67.8566  HA  DE  LA  PLANTA  FOTOVOLTAICA  Y  0.7244HA  DE  LA  LINEA  DE  EVACUACION,  QUE  SUSTENTAN  VEGETACION  DE  DESIERTOS  ARENOSOS,  CON  UNA  CAPACIDAD INSTALADA  DE  GENERACION  DE  30.00  MWN  (34.92  MWP),  EVACUANDO  LA  ENERGIA  GENERADA  A  TRAVES  DE  UNA  LINEA  AEREA  DE  115  KV  DE  NUEVA  CONSTRUCCION,  DE APROXIMADAMENTE3.64  KILOMETROS  HASTA  LA  SE  COLECTORA  Y  DE  LA  SE  COLECTORA  A  LA  SE  CONEJOS  MEDANOS  (ACTUALMENTE  EN  OPERACION  POR  PARTE  DE  LA CFE).|08|005|2017|E|0|
37-17|1|4|HIDALGO|HUASCA DE OCAMPO|13HI2017V0030|MUNICIPIO DE HUASCA DE OCAMPO|PUENTE SAN SEBASTIAN|MIA.-PARTICULAR|26-JUN-17|ELEMENTOS QUE INTEGRAN EL PROYECTO: EL PROYECTO CONSISTE EN LA CONSTRUCCION DE UN PUENTE CON UN LARGO DE 107.00 M, UN CLARO CENTRAL DE 30.04M, UN ANCHO TOTAL DE 9.00 M, UN ANCHO DE CALZADA DE 7.00 M, 2 CARRILES UNO POR SENTIDO DE 3.50 M CADA UNO, PARAPETOS DE 1.0 MTS POR SENTIDO Y 2 TERRAPLENES DE ACCESO,   A   BASE   DE   TRABES   AASHTO   TIPO   IV,   CON   LOSAS   Y   DIAFRAGMAS,   CUENTA   CON   3   PILAS   CENTRALES   Y   DOS   CABALLETES   EN   LOS   EXTREMOS,   UNA SUPERESTRUCTURA DE CONCRETO Y ACERO REFORZADO.|13|024|2017|V|0|
37-17|1|5|ESTADO DE MEXICO|AXAPUSCO|15EM2017E0099|EVM ENERGIA DEL VALLE DE MEXICO GENERADOR, S. A. P. I. DE C. V.|ENERGIA DEL VALLE DE MEXICO II (EVM II)|MIA.-REGIONAL|22-JUN-17|ELEMENTOS  QUE  INTEGRAN  EL  PROYECTO:  EL  PROYECTO,  CONSISTE  EN  LA  CONSTRUCCION  Y  OPERACION  DE  UNA  CENTRAL  DE  CICLO  COMBINADO  QUE  UTILIZARA  GAS NATURAL  COMO  COMBUSTIBLE,  Y  TENDRA  UNA  CAPACIDAD  DE  GENERACION  BASE  DE  750  MW,  PERO  PODRA  GENERAR  HASTA  850  MW.  EL  PROYECTO  SE  LOCALIZA  EN  EL EJIDO FRANCISCO I. MADERO, JALTEPEC, MUNICIPIO DE AXAPUSCO, ESTADO DE MEXICO, EN EL KILOMETRO 15+700 DE LA CARRETERA OTUMBA-CIUDAD SAHAGUN. ESTARA COMPUESTA  POR  UN  BLOQUE  CON  DOS  TURBINAS  DE  GAS  (TG),  DOS  CALDERAS  DE  RECUPERACION  DE  CALOR  (HRSG)  Y  UNA  TURBINA  DE  VAPOR  EN UN  ARREGLO MULTIFLECHA  A  LA  INTEMPERIE,  Y  SUS  AUXILIARES.  LAS  UNIDADES  TURBOGENERADORAS  SE  INTERCONECTARAN  A  UNA  SUBESTACION  ELECTRICA  (SE)  ELEVADORA  EN HEXAFLORURO  DE  AZUFRE  SF6  QUE  OPERARA  EN  EL  NIVEL  DE  400  KV.  LA  CENTRAL  SE  INTERCONECTARA  A  LA  LINEA  DE  TRANSMISION  DE  400  KVTRES ESTRELLAS â€“ TEOTIHUACAN.  CONTARA  CON  UN  CAMINO  DE  ACCESO  DE  160  M  DE  LONGITUD  Y  UN  ACHO  DE  CORONA  DE  6  M,  LOS  CAMINOS  INTERIORES  TENDRAN  UN  ANCHO  DE  VIA NECESARIOS PARA LA UTILIZACION DE GRUAS MOVILES PARA EL MANTENIMIENTO DE ESTOS EQUIPOS. EL PROYECTO SE UBICARA EN UN PREDIO DE 26.05 HA, DENTRO DEL CUAL SE UBICARAN LAS INSTALACIONES PERMANENTES Y LAS TEMPORALES, EL DESMONTE Y DESPALME UNICAMENTE SE REALIZARA EN LAS AREAS DONDE SE IMPLANTARA EL  PROYECTO  Y  LAS  INSTALACIONES  PROVISIONALES  (97,000  M2)  Y  CONSISTIRA  EN  LA  REMOCION  DE  LOS  ELEMENTOS  ARBOREOS,  ARBUSTIVOS  Y  LA  CAPA  HERBACEA PRESENTES  EN  EL  POLIGONO  DEL  PROYECTO;  SERAN  RETIRADOS  LOS  ARBOLES  DE  PIRUL  (SCHINUS  MOLLE),  ARBUSTOS  Y  PLANTAS  DE  NOPAL  (OPUNTIA  FICUS-INDICA)  Y MAGUEY (AGAVE SP.) QUE SE ENCUENTRAN DISPERSOS DELIMITANDO ALGUNAS PARCELAS.|15|016|2017|E|0|
37-17|1|6|ESTADO DE MEXICO|TENANCINGO|15EM2017H0101|GOBIERNO DEL ESTADO DE MEXICO|RECTIFICACIóN DEL CAUCE DEL ARROYO EL SALADO|MIA.-PARTICULAR|23-JUN-17|ELEMENTOS QUE INTEGRAN EL PROYECTO: CONSISTE EN LA RECTIFICACION DEL ARROYO EL SALADO ASI COMO SU ENCOFRAMIENTO, QUE INCLUYE LA CONSTRUCCION DE UNA VIALIDAD Y UN PUENTE SOBRE EL RIO SAN SIMONITO PARA DAR ACCESO A LA ZONA DEL PROYECTO Y AL CEPRESO, Y LA CUAL EN UN TRAMOINCIDE SOBRE EL ARROYO ENCOFRADO,  LO  ANTERIOR  CON  LA  FINALIDAD  DE  EVITAR  DESBORDAMIENTOS  DEL  ARROYO  EL  SALADO  AL  CONSIDERAR  LOS  ASPECTOS  TOPOGRAFICOS,  GEOTECNICOS, HIDROLOGICOS, HIDRAULICOS, ESTRUCTURALES QUE INTEGRAN UN PROYECTO QUE PERMITA EL FLUJO ADECUADO DE LAS AGUAS EN EL TRAMO EN ESTUDIO.|15|088|2017|H|0|
37-17|1|7|MICHOACAN|LAZARO CARDENAS|16MI2017H0037|ADMINISTRACION PORTUARIA INTEGRAL DE LAZARO CARDENAS S.A. DE .C.V.|MANTENIMIENTO Y REFORZAMIENTO DE LAS ESCOLLERAS EN EL CANAL DE ACCESO AL PUERTO LAZARO CARDENAS|MIA.-PARTICULAR|26-JUN-17|ELEMENTOS QUE INTEGRAN EL PROYECTO: EL PROYECTO CONSISTE EN LA REHABILITACIóN O REFORZAMIENTO (COLOCAR MáS ROCAS Y CORE LOCK?S) SOBRE EL CUERPO DE LA ESCOLERA NORTE EXISTENTE, CUYA LONGITUD DE 320 METROS  Y PROLONGAR ESA  ESCOLLERA EN UNA LONGITUD DE 166.83 M, CONSIDERANDO UN CUERPO DE 13 METROS Y UN MORRO (EXTREMO), DE 36.83 M; AL MISMO TIEMPO SE REQUIERE REFORZAR LA ESCOLLERA SUR, PROLONGáNDOLA EN 50 METROS, CON UNA LONGITUD DEL CUERPO  DE  20  METROS  Y  UN  MORRO  DE  30  METROS;  Y  AL  IGUAL  QUE  LA  ESCOLLERA  NORTE  SE  REHABILITARá  (COLOCAR  MáS  ROCAS  Y  CORE  LOCK ́S)  EN  SU  CUERPO ACTUAL, CUYA LONGITUD ES DE 320 METROS. TAMBIéN SE RETIRARá LA BALIZA DE SITUACIóN Y POSTERIORMENTE SE REPONDRá, ESTO EN CADA ESCOLLERA.|16|052|2017|H|0|
37-17|1|8|MICHOACAN|LAZARO CARDENAS|16MI2017I0038|ARCELORMITTAL MEXICO SA DE CV|REHABILITACION Y COMPLEMENTO DEL SISTEMA DE LAMINADO DE TIRA EN CALIENTE|MIA.-PARTICULAR|26-JUN-17|ELEMENTOS  QUE  INTEGRAN  EL  PROYECTO:  EL  PROYECTO  CONSIDERA  INTEGRAR  LOS  PROCESOS  DE  LAMINACIóN  DE  TIRA  EN  CALIENTE  Y  TIRA  EN  FRIO,  A  PARTIR  DE  LA RECEPCIóN  DEL  PLANCHóN  PROVENIENTE  DEL  PROCESO  DE  ACERíA  ELéCTRICAY  COLADA  CONTINUA  II.  PARA  LOGRARLO,  EL  PROMOVENTE  PRETENDE  REHABILITAR  Y APROVECHAR LA INFRAESTRUCTURA PARCIAL QUE FUE EDIFICADA EN LOS AñOS 70 ́S DENTRO DEL COMPLEJO SIDERúRGICO ?LAS TRUCHAS?, UBICADO EN EL MUNICIPIO DE LáZARO CáRDENAS, MICHOACáN. EL áREA PARA EL DESARROLLO DEL PROYECTO ES DE 57.75 HECTáREAS. LA CAPACIDAD INSTALADA DEL PROCESO ASOCIADO AL MOLINO DE CINTA CALIENTE ES DE 3,378,240 TONELADAS AL AñO.|16|052|2017|I|0|
37-17|1|9|MORELOS|CUAUTLA|17MO2017HD014|PRESIDENCIA MUNICIPAL DE CUAUTLA|CONSTRUCCION DE PUENTE PEATONAL CERRITOS EN LA COLONIA IGNACIO ZARAGOZA. MPIO. DE CUAUTLA MORELOS.|MIA.-PARTICULAR|23-JUN-17|ELEMENTOS  QUE  INTEGRAN  EL  PROYECTO:  EL  PROYECTO  CONSISTE  EN  LA  CONSTRUCCIóN,  OPERACIóN  Y  MANTENIMIENTO  DE  UN  PUENTE  PEATONAL SOBRE  EL  RíO CUAUTLA, UBICADO EN LA LOCALIDAD DE CUAUTLIXCO,  MUNICIPIO DE CUAUTLA, MORELOS.  EL PUENTE CONSISTE EN UNA ESTRUCTURA DE 24.00 M LINEALES  DE UN SOLO CLARO,  Y  UNA  ANCHO  DE  2.00  M,  CUYA  SUPERESTRUCTURA  ESTARá  FORMADA  POR  ARMADURAS  DE  ACERO,  LA  SUPERFICIE  TOTAL  DEL  QUE  OCUPARáNLAS  OBRAS  DEL PUENTE ES DE 48.00 M2; PARA LA REALIZACIóN DEL PROYECTO NO SE CONSIDERA CAMBIO DE USO DE SUELO DE áREAS FORESTALES.|17|006|2017|H|D|
37-17|1|10|PUEBLA|XOCHILTEPEC|21PU2017M0054|ANGEL REMIGIO BAEZ MIRANDA|REGULARIZACION AMBIENTAL DE LOS BANCOS DE EXTRACCION DE PIEDRA CALIZA DENOMINADOS TIXILO E IXMATLAPA EN LA LOCALIDAD DE SAN MIGUEL AYOTLA, MUNICIPIO DE XOCHILTEPEC, PUEBLA|MIA.-REGIONAL|23-JUN-17|ELEMENTOS QUE INTEGRAN EL  PROYECTO: EL PROYECTO CONSISTE EN LA EXPLOTACION DE DOS BANCOS  DE  PIEDRA  CALIZA, DE LOS CUALES  E PRETENDE EXTRAER UN PROMEDIO  DE  6,000,000  M3  DE  MATERIAL  PETREO,  A  UNA  PROFUNDIDAD  MAXIMA  DE  30  METROS;  LAS  CANTERAS  SE  LOCALIZAN  EN  LA  PARTE  SUROESTE  DEL  ESTADO  DE PUEBLA, EN LA REGION CONOCIDA COMO VALLE DE IZUCAR DE  MATAMOROS. LAS CANTERAS SE ENCUENTRAN EN EXPLOTACION, DESDE HACE 30 Aã‘OS, POR LO QUE LOS PROPIETARIOS,  CON  LA  FINALDIAD  DE  EVITAR  CUALQUIER  INCONVENIENTE  CON  LA  AUTORIDAD  AMBIENTAL  DECIDIO  LLEVAR  A  CABO  LA  REGULARIZACION  DE  LA EXPLOTACION  DE  LAS  CANTERAS  EN  MATERIA  AMBIENTAL.  LA  SUPERFICIE  REQUERIDA  PARA  CONTINUAR  CON  LA  EXPLOTACION  DE  ALS  CANTERAS  ES  DE  10  HECTAREAS PARA  EL  BANCO  TIXILO  Y  5  HECTAREAS  PARA  EL  BANCO  IXMATLAPA,  REQUIRIENDOSE  LA  REMOCION  DE  VEGETACION  CORRESPONDIENTE  A  VEGETACION  SECUNDARIA ARBOREA DE SELVA BAJA CADUCIFOLIA EN APROXIMADAMENTE 4.4 HECTAREAS; VEGETACION SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA EN 3.8 HECTAREAS|21|201|2017|M|0|
